week,letter,day,classes,room,lesson,notes,hwk,event,time,break,lunch
3,A,THU,9Y1.CS,B8,4,Y9 Autumn 1 Lesson 2 - bits an bytes,*, ,1220  1355, ,12:20
3,A,THU,7Y1.CS,B8,5,Y7 Aut 1 L2 Internet & WWW,*, ,1355  1510, , 
3,A,FRI,7X2.Ph,B6,1,COVER: IT logins, , ,0850  0955, , 
3,A,FRI,10T2,B8,2,COVER: SP1c acceleration 2,*, ,0955  1100, , 
3,A,FRI,11C2,G4,3,COVER: past papers, , ,1100  1220,11:40, 
3,A,FRI,11CS,G4,4,COVER: binary arithmetic,*, ,1220  1355, ,13:25
3,A,FRI,11CS,G4,5,COVER: algorithm challenge, , ,1355  1510, , 
4,B,MON,10C3,B8,1,COVER: acceleration ramps calca, ,briefing,0850  0955, , 
4,B,MON,11T2,B8,2,COVER: Exam Q practice,*, ,0955  1100, , 
4,B,MON,7X1.Ph,B8,3,COVER: stretching and squashing,*, ,1100  1220,11:00, 
4,B,MON,PPA,-,4,..., , ,1220  1355, , 
4,B,MON,10CS,B8,5,COVER: brenda venda functions, , ,1355  1510, , 
4,B,TUE,10C3,B8,1,COVER: acceleration worksheet, , ,0850  0955, , 
4,B,TUE,9Y1.CS,G4,2,COVER: Y9 Aut 1 L3 representing images, , ,0955  1100, , 
4,B,TUE,11C2,B8,3,COVER: revision exam Q, , ,1100  1220,11:40, 
4,B,TUE,11T2,G4,4,COVER: Revision - equations, , ,1220  1355, ,13:25
4,B,TUE,8Y1.Ph,B8,5,COVER: Earth presentation 1, , ,1355  1510, , 
4,B,WED,11C2,B8,1,COVER: Revision - equations, , ,0850  0955, , 
4,B,WED,10T2,B5,2,COVER: SP1c acceleration worksheet, , ,0955  1100, , 
4,B,WED,9Y2.Ph,B3,3,COVER: P2 3.1 Speed, ,break duty,1100  1220,11:00, 
4,B,WED,11CS,G4,4,COVER: exam revision, , ,1220  1355, ,13:25
4,B,WED,11CS,G4,5,COVER: exam revision, , ,1355  1510, , 
4,B,THU,8Y1.Ph,B8,1,COVER: Earth presentation 2, ,briefing,0850  0955, , 
4,B,THU,10C3,B8,2,COVER: book work CP1c acceleration,*, ,0955  1100, , 
4,B,THU,10T2,B8,3,COVER: book work SP1c velocity-time graphs, , ,1100  1220,11:20, 
4,B,THU,7Y1.Ph,B5,4,COVER: book work P1 1.2 stretching and squashing, , ,1220  1355, ,12:20
4,B,THU,8X1.Ph,B3,5,COVER: book work P1 4.3 the earth,*, ,1355  1510, , 
4,B,FRI,PPA,-,1,..., , ,0850  0955, , 
4,B,FRI,11T2,B8,2,"COVER: Revison, Seneca or Past Papers (Go4)", , ,0955  1100, , 
4,B,FRI,PPA,-,3,..., , ,1100  1220, , 
4,B,FRI,10CS,G4,4,COVER: Seneca J277, , ,1220  1355, ,12:50
4,B,FRI,10CS,G4,5,COVER: Coding user authentication and age verification, , ,1355  1510, , 
5,A,MON,11CS,G4,1,COVER: Continue with programming project (Go4), ,briefing,0850  0955, , 
5,A,MON,10C3,B8,2,COVER: Continue with Seneca Forces topic, , ,0955  1100, , 
5,A,MON,7X2.Ph,B6,3,"COVER: Balanced and unbalanced forces, p120-121 Activate 1", ,break duty,1100  1220,11:00, 
5,A,MON,8X1.Ph,B8,4,COVER: Earth presentation 1, , ,1220  1355, ,12:50
5,A,MON,11C2,B8,5,COVER: Continue with past paper questions and Seneca work,*, ,1355  1510, , 
5,A,TUE,10T2,B5,1,"COVER: SP1d p8-9, draw graphs, do questions", , ,0850  0955, , 
5,A,TUE,PPA,-,2,..., , ,0955  1100, , 
5,A,TUE,PPA,-,3,..., , ,1100  1220, , 
5,A,TUE,11T2,B8,4,"COVER: Revision quizzes, task on Go4", , ,1220  1355, ,13:25
5,A,TUE,7X1.Ph,B8,5,COVER: Seneca KS3 science - forces, , ,1355  1510, , 
5,A,WED,7Y1.Ph,B8,1,COVER: Seneca KS3 science - forces, , ,0850  0955, , 
5,A,WED,11T2,B8,2,COVER: Revision links on Go4, , ,0955  1100, , 
5,A,WED,PPA,B8,3,..., , ,1100  1220, , 
5,A,WED,10T2,B3,4,COVER: v-t graphs Felix freefall, , ,1220  1355, ,12:50
5,A,WED,9Y2.Ph,B3,5,MOCK EXAM,*, ,1355  1510, , 
5,A,THU,10CS,G4,1,COVER: Text adventures 1, ,briefing,0850  0955, , 
5,A,THU,10CS,G4,2,COVER: Text adventures 2,*, ,0955  1100, , 
5,A,THU,PPA,-,3,..., , ,1100  1220, , 
5,A,THU,9Y1.CS,B8,4,COVER: Y9 Aut 1 L4 Digital images & video,*, ,1220  1355, ,12:20
5,A,THU,7Y1.CS,B8,5,COVER: Y7 Aut 1 L3 Staying safe online,*, ,1355  1510, , 
5,A,FRI,7X2.Ph,B6,1,"COVER: P1 1.3 Drag Forces & Friction : Activate 1 : p116-117 : Do tasks A-D : Draw particle diagram on p117 : Do questions 1-4, illustrating 4 with pictures", , ,0850  0955, , 
5,A,FRI,10T2,B8,2,COVER: SP2a: Representing Forces - lesson on Go4 ,*, ,0955  1100, , 
